"","sp_citynam","n","county_ies_note_2","population_1","populationdensity_1_2_note_1","per_capita_income_3","median_household_income_6","median_family_income_5","med_income","population","adjusted"
"1","ALAMEDA",228,"ALAMEDA","75,763","7,255.6","$42,331","$76,439","$93,427",76439,75763,0.00300938452806779
"2","ALBANY",46,"ALAMEDA","19,020","10,637.6","$40,426","$78,769","$91,967",78769,19020,0.00241850683491062
"3","AMERICAN CANYON",34,"NAPA","20,089","3,303.6","$28,451","$81,955","$89,954",81955,20089,0.00169246851510777
"4","ANTIOCH",366,"CONTRA COSTA","105,630","3,728.6","$25,499","$65,770","$73,023",65770,105630,0.00346492473729054
"5","BAY POINT",53,"CONTRA COSTA","21,586","3,280.5","$17,385","$41,749","$42,983",41749,21586,0.00245529509867507
"6","BELMONT",78,"SAN MATEO","26,503","5,730.4","$56,302","$106,287","$142,446",106287,26503,0.0029430630494661
"7","BELVEDERE",3,"MARIN","2,036","3,922.9","$119,798","$166,250","$181,833",166250,2036,0.00147347740667976
"8","BENICIA",45,"SOLANO","27,450","2,123.1","$43,640","$89,094","$113,235",89094,27450,0.00163934426229508
"9","BERKELEY",567,"ALAMEDA","115,688","11,053.7","$42,406","$65,283","$114,720",65283,115688,0.00490111333932646
"10","BOLINAS",1,"MARIN","1,403","240.8","$50,783","$74,310","$115,741",74310,1403,0.000712758374910905
"11","BOYES HOT SPRINGS",20,"SONOMA","7,664","7,237.0","$26,245","$54,788","$56,331",54788,7664,0.00260960334029228
"12","BRENTWOOD",137,"CONTRA COSTA","54,062","3,640.3","$33,357","$88,697","$100,925",88697,54062,0.00253412748325996
"13","BRISBANE",17,"SAN MATEO","4,421","1,428.0","$40,401","$80,233","$96,477",80233,4421,0.00384528387242705
"14","BROADMOOR",13,"SAN MATEO","4,734","10,496.7","$34,328","$100,109","$110,160",100109,4734,0.00274609209970427
"15","BURLINGAME",58,"SAN MATEO","29,618","6,723.7","$61,062","$90,890","$132,210",90890,29618,0.00195826862043352
"16","BYRON",1,"CONTRA COSTA","1,305","201.1","$29,962","$75,673","$60,250",75673,1305,0.000766283524904215
"17","CALISTOGA",16,"NAPA","5,244","2,018.5","$33,280","$52,131","$83,889",52131,5244,0.0030511060259344
"18","CAMPBELL",92,"SANTA CLARA","40,327","6,948.1","$44,769","$91,269","$103,539",91269,40327,0.00228134996404394
"19","CASTRO VALLEY",157,"ALAMEDA","62,363","3,725.4","$38,897","$83,442","$97,572",83442,62363,0.00251751840033353
"20","CAZADERO",1,"SONOMA","312","43.8","$25,780","$43,875","$42,969",43875,312,0.00320512820512821
"21","CLAYTON",25,"CONTRA COSTA","11,328","2,950.0","$54,740","$131,136","$141,623",131136,11328,0.0022069209039548
"22","CLOVERDALE",37,"SONOMA","8,692","2,863.0","$28,677","$59,120","$67,746",59120,8692,0.00425678785089738
"23","COLMA",13,"SAN MATEO","1,837","964.3","$30,256","$88,438","$95,208",88438,1837,0.00707675557974959
"24","CONCORD",375,"CONTRA COSTA","125,017","4,093.0","$31,404","$67,122","$78,218",67122,125017,0.00299959205548045
"25","CORTE MADERA",27,"MARIN","9,478","2,996.5","$64,762","$113,279","$141,143",113279,9478,0.00284870225786031
"26","COTATI",38,"SONOMA","7,347","3,908.0","$32,834","$59,808","$75,461",59808,7347,0.00517217912072955
"27","CROCKETT",6,"CONTRA COSTA","3,151","2,972.6","$42,310","$81,667","$89,588",81667,3151,0.00190415741034592
"28","CUPERTINO",92,"SANTA CLARA","59,787","5,285.7","$55,867","$134,872","$158,053",134872,59787,0.001538796059344
"29","DALY CITY",255,"SAN MATEO","103,897","13,599.1","$28,753","$74,489","$83,096",74489,103897,0.00245435383119821
"30","DANVILLE",63,"CONTRA COSTA","42,891","2,372.7","$65,783","$140,616","$157,842",140616,42891,0.0014688396167028
"31","DISCOVERY BAY",6,"CONTRA COSTA","14,315","2,272.2","$43,649","$112,063","$114,085",112063,14315,0.00041914076143905
"32","DIXON",2,"SOLANO","18,718","2,626.0","$26,501","$66,818","$71,994",66818,18718,0.000106849022331446
"33","DUBLIN",38,"ALAMEDA","49,694","3,262.3","$44,679","$114,699","$128,737",114699,49694,0.000764679840624623
"34","EAST PALO ALTO",67,"SAN MATEO","28,920","11,540.3","$18,527","$52,716","$53,094",52716,28920,0.00231673582295989
"35","EL CERRITO",161,"CONTRA COSTA","24,136","6,599.9","$45,190","$88,380","$104,524",88380,24136,0.00667053364269142
"36","EL GRANADA",17,"SAN MATEO","5,377","1,114.9","$57,758","$110,000","$158,309",110000,5377,0.00316161428305747
"37","EL VERANO",27,"SONOMA","4,338","3,798.6","$25,804","$50,811","$43,250",50811,4338,0.00622406639004149
"38","ELDRIDGE",4,"SONOMA","1,333","2,044.5","$29,956","$54,355","$61,786",54355,1333,0.00300075018754689
"39","EMERYVILLE",80,"ALAMEDA","10,497","8,194.4","$53,155","$69,329","$84,688",69329,10497,0.00762122511193674
"40","FAIRFAX",49,"MARIN","7,546","3,423.8","$56,506","$93,354","$132,545",93354,7546,0.00649350649350649
"41","FAIRFIELD",298,"SOLANO","107,983","2,888.2","$27,110","$66,190","$75,091",66190,107983,0.00275969365548281
"42","FORESTVILLE",18,"SONOMA","3,461","658.4","$28,818","$55,740","$66,136",55740,3461,0.00520080901473563
"43","FOSTER CITY",92,"SAN MATEO","31,809","8,379.6","$55,318","$114,651","$130,566",114651,31809,0.00289226319595083
"44","FREMONT",501,"ALAMEDA","221,654","2,861.3","$40,815","$103,591","$112,347",103591,221654,0.00226027953477041
"45","FULTON",4,"SONOMA","441","226.3","$34,310","$65,750","$116,146",65750,441,0.0090702947845805
"46","GEYSERVILLE",7,"SONOMA","879","194.7","$22,451","$49,271","$49,931",49271,879,0.00796359499431172
"47","GILROY",114,"SANTA CLARA","50,776","3,145.6","$29,559","$81,056","$86,098",81056,50776,0.00224515519142902
"48","GLEN ELLEN",19,"SONOMA","614","292.1","$43,374","$48,750","$49,167",48750,614,0.0309446254071661
"49","GRATON",4,"SONOMA","1,626","1,029.8","$26,548","$37,927","$56,250",37927,1626,0.002460024600246
"50","GUERNEVILLE",26,"SONOMA","3,775","388.8","$34,303","$42,712","$58,269",42712,3775,0.00688741721854305
"51","HALF MOON BAY",42,"SAN MATEO","11,803","1,837.6","$54,270","$103,239","$108,700",103239,11803,0.0035584173515208
"52","HAYWARD",464,"ALAMEDA","149,596","3,293.6","$25,770","$62,691","$69,415",62691,149596,0.00310168721088799
"53","HEALDSBURG",24,"SONOMA","11,466","2,572.6","$32,461","$58,176","$65,375",58176,11466,0.00209314495028781
"54","HERCULES",66,"CONTRA COSTA","24,596","3,835.9","$37,978","$100,267","$113,447",100267,24596,0.00268336314847943
"55","INVERNESS",3,"MARIN","1,368","213.8","$52,826","$51,850","$91,458",51850,1368,0.00219298245614035
"56","KENTFIELD",31,"MARIN","6,667","2,204.0","$109,976","$175,573","$246,771",175573,6667,0.00464976751162442
"57","KENWOOD",9,"SONOMA","1,075","208.1","$75,128","$86,719","$103,505",86719,1075,0.00837209302325581
"58","LAFAYETTE",89,"CONTRA COSTA","24,685","1,640.5","$67,896","$138,073","$176,250",138073,24685,0.00360542839781244
"59","LARKFIELD-WIKIUP",13,"SONOMA","8,831","1,663.7","$37,027","$75,230","$83,295",75230,8831,0.00147208696636847
"60","LARKSPUR",51,"MARIN","12,131","4,007.6","$65,707","$82,568","$115,363",82568,12131,0.00420410518506306
"61","LIVERMORE",10,"ALAMEDA","83,901","3,122.9","$42,594","$99,683","$111,950",99683,83901,0.000119188090725975
